Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2016-10-11,"6,945,823","499,048,287",72.35,72.45,71.2,71.45,-0.20,"1,371"
2016-10-12,"6,057,198","435,873,394",71.5,72.3,71.35,72.25,+0.80,"1,398"
2016-10-13,"5,454,942","391,910,064",72.2,72.3,71.45,71.7,-0.55,785
2016-10-14,"3,633,218","259,915,436",71.3,71.9,71.3,71.45,-0.25,856
2016-10-17,"4,422,098","314,011,945",71.45,71.6,70.6,71.45, 0.00,920
2016-10-18,"3,619,946","259,443,312",71.5,71.95,71.3,71.95,+0.50,796
2016-10-19,"21,575,332","1,563,479,621",72.0,72.6,72.0,72.35,+0.40,"3,246"
2016-10-20,"4,836,032","351,124,080",72.35,72.75,72.35,72.65,+0.30,"1,259"
2016-10-21,"4,234,740","308,183,379",72.65,73.05,72.55,72.6,-0.05,749
2016-10-24,"3,265,122","237,613,138",72.85,72.95,72.6,72.7,+0.10,598
2016-10-25,"3,715,773","271,850,460",72.85,73.5,72.85,73.4,+0.70,"1,070"
2016-10-26,"2,868,454","209,503,168",73.0,73.15,72.9,73.0,-0.40,469
2016-10-27,"3,170,404","230,465,068",73.0,73.15,72.4,72.6,-0.40,629
2016-10-28,"4,275,037","310,172,077",72.6,72.75,72.45,72.6, 0.00,366
2016-10-31,"5,464,146","394,236,445",72.25,72.7,71.7,72.6, 0.00,717
2016-11-01,"2,024,337","146,646,068",72.25,72.6,72.1,72.6, 0.00,391
2016-11-02,"5,502,479","394,615,232",71.95,72.0,71.6,71.75,-0.85,"1,116"
2016-11-03,"4,554,732","324,765,390",71.45,71.6,71.1,71.2,-0.55,"1,299"
2016-11-04,"4,346,371","308,626,872",71.0,71.2,70.85,71.0,-0.20,"1,093"
2016-11-07,"3,235,375","232,393,622",71.8,72.0,71.45,72.0,+1.00,"1,544"
2016-11-08,"2,694,109","194,530,719",72.15,72.4,72.0,72.35,+0.35,847
2016-11-09,"19,936,675","1,410,922,018",72.85,73.05,70.0,70.0,-2.35,"4,810"
2016-11-10,"6,699,699","481,884,878",71.8,72.1,71.75,72.0,+2.00,"1,932"
2016-11-11,"8,375,831","588,020,191",70.35,70.7,69.95,70.05,-1.95,"2,688"
2016-11-14,"7,117,151","496,754,451",69.95,70.3,69.45,70.1,+0.05,"1,670"
2016-11-15,"4,015,684","280,809,982",69.8,70.1,69.75,69.9,-0.20,"1,309"
2016-11-16,"24,749,610","1,739,238,360",70.2,70.5,69.95,70.0,+0.10,"5,009"
2016-11-17,"3,313,486","232,129,391",70.0,70.2,69.75,70.2,+0.20,"1,622"
2016-11-18,"2,119,539","148,731,037",70.1,70.4,69.9,70.4,+0.20,598
2016-11-21,"2,649,990","186,524,490",70.3,70.5,70.1,70.5,+0.10,539
2016-11-22,"5,293,782","377,011,832",70.75,71.65,70.75,71.45,+0.95,"1,725"
2016-11-23,"1,907,717","136,841,949",71.5,71.9,71.45,71.8,+0.35,710
2016-11-24,"2,303,410","164,354,604",71.6,71.6,71.2,71.4,-0.40,676
2016-11-25,"2,649,250","189,253,897",71.35,71.65,71.25,71.35,-0.05,581
2016-11-28,"2,646,049","189,938,951",71.35,72.0,71.35,71.75,+0.40,788
2016-11-29,"1,417,871","101,829,278",71.9,72.0,71.65,71.65,-0.10,452
2016-11-30,"1,918,325","137,591,850",71.7,71.9,71.5,71.7,+0.05,595
2016-12-01,"1,955,817","140,730,135",71.6,72.1,71.6,72.0,+0.30,666
2016-12-02,"3,307,698","235,128,806",71.2,71.2,70.9,71.2,-0.80,736
2016-12-05,"1,388,169","98,576,875",71.2,71.2,70.8,71.1,-0.10,367
